varName,oldName,varDesc,Groups,Inverted,Response Type
N001,Q1,How many previous full-term pregnancies have you had?,,,0 | 1 | 2 | 3 | 4+
N002,Q2,When is your estimated due date? (MM/DD/YYYY),,,Formated date response
N003,Q3,Is this a single or a multiple pregnancy?,,,Single | Multiple
N004,Q4,Age,,,18-24 | 25-29 | 30-34 | 35-39 | 40+
N005,Q5,Occupation,,,Free Response
N006,Q6,Highest educational level achieved,,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)"
N007,Q7,Are you currently partnered?,,,Yes | No
N008,Q8,Religious affiliation,,,Protestant Christian | Roman Catholic | Evangelical Christian | Jewish | Muslim | Hindu | Buddhist | Atheist/Nonreligious | Other | Prefer Not to Say
N009,Q9,Average household income,,,"Less than $10,000 | $10,000-$50,000 | $50,000-$100,000 | $100,000-$150,000 | More than $150,000 | Prefer Not to Say"
N010,Q10,Race,,,White/Caucasian | African American | Hispanic | Asian | Native American | Pacific Islander | Other
N011,Q11,How many siblings do you have?,,,0 | 1 | 2 | 3 | 4+
N012,Q12,Highest educational level achieved by your mother,,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)"
N013,Q13,Highest educational level achieved by your father,,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)"
N014,Q14,What is your primary motivating factor for choosing an out-of-hospital birth?,,,Free Response
N015,Q16_1,Interested,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N016,Q16_2,Distressed,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N017,Q16_3,Excited,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N018,Q16_4,Upset,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N019,Q16_5,Strong,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N020,Q16_6,Guilty,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N021,Q16_7,Scared,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N022,Q16_8,Hostile,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N023,Q16_9,Enthusiastic,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N024,Q16_10,Proud,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
N025,Q16_11,Irritable,,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
