varName,oldName,varDesc,Group,Inverted,Response Type
P065,Q47_4,I felt in control of my own behavior,outcomeMeasures,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P067,Q47_6,"In general, my experience of labor and delivery was what I expected",expectations,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P074,Q48_3,INV - I ‘lost spirit’ at some point during the labor,emotEnv,INV*,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P076,Q48_5,I felt safe in my surroundings,emotEnv,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P084,Q50_3,INV - My birth did not go according to my birth plan,expectations,INV*,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P087,Q50_6,I felt uninhibited,intuitMov,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P097,Q51_6,INV - I let my partner down,emotEnv,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P100,Q51_9,I believe that my body holds the wisdom to give birth on its own,intuitMov,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P107,Q52_6,INV - I changed positions only when somebody told me to,intuitMov,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P109,Q52_8,"I was able to ""be myself""",emotEnv,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P113,Q53_2,I was relaxed,emotEnv,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P114,Q53_3,INV - I let myself down,emotEnv,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P119,Q53_8,INV - I struggled to find a steady rhythm,intensePres,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P121,Q53_10,INV - I tried to escape the sensations in my body,intuitMov,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P122,Q54_1,I was involved in all decision-making processes (especially regarding interventions),outcomeMeasures (control),,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P124,Q54_3,INV - My labor pain felt like suffering,painExp,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P125,Q54_4,My memories (now) of my labor are mostly focused on my inner experience,fluidReal,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P132,Q55_1,I was in my own little world,laborLand / fluidReal,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P133,Q55_2,I coped well with the pain of labor,painExp,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P138,Q55_7,I felt connected to all the women who have labored and birthed before me,emotEnv,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P139,Q55_8,INV - I found it very difficult to remain relaxed,intensePres,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P141,Q55_10,I felt a sense of oneness with the world,fluidReal,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P142,Q56_1,INV - I was helpless against the strength of my labor pain,painExp,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P145,Q56_4,I accepted my labor pain,painExp,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P147,Q56_6,"My actions were purposeful and essential, not frantic or excessive",intensePres,,Strongly Disagree | Disagree | Neither Agree nor Disagree | Agree | Strongly Agree
P148,Q56_7,INV - I dreaded the coming of each contraction,painExp,INV,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P149,Q57.1,"INV - As a result of my childbirth experience, my self-confidence _________",outcomeMeasures,INV,Greatly Decreased | Somewhat Decreased | Stayed the Same | Somewhat Increased | Greatly Increased
P150,Q58,My labor and delivery experience was __________,outcomeMeasures,,Much worse than expected | Slightly worse than expected | Exactly as expected | Slightly better than expected | Much better than expected
P151,Q59.1,I felt my labor was a _______ experience,outcomeMeasures,,Very Negative | Somewhat Negative | Positive and Negative | Somewhat Positive | Very Positive
