varName,oldName,,,varDesc
Q102,Q33,,,How many previous full-term pregnancies have you had?
Q103,Q35,,,When was your estimated due date? (MM/DD/YYYY)
Q104,Q37,,,Is this a single or a multiple pregnancy?
Q105,Q39,,,Age
Q106,Q41,,,Occupation
Q107,Q43,,,Highest educational level achieved
Q108,Q45,,,Are you currently partnered?
Q109,Q47,,,Religious affiliation
Q110,Q49,,,Average household income
Q111,Q51,,,Race
Q112,Q53,,,How many siblings do you have?
Q113,Q55,,,Highest educational level achieved by your mother
Q114,Q57,,,Highest educational level achieved by your father
Q115,Q59,,,What is your primary motivating factor for choosing an out-of-hospital birth?
Q116,Q19,,,Did you have a vaginal childbirth or a cesarean birth?
Q117,Q20,,,Did you receive any pain medications?
Q118,Q21,,,Where did you give birth?
Q119,Q22,,,Did you give birth at the location you had originally intended?
Q120,Q23,,,What day of the week did you give birth?
Q121,Q24,,,What time of day did you give birth?
Q122,Q25,,,"Relative to your estimated due date, how many days early or late did you give birth?"
Q123,Q26,,,How much time did you spend in active labor (4cm or more dilated)?
Q124,Q27.1,,,How much time did you spend pushing?
Q125,Q28,,,Was your partner present during the birth? (Partner can mean a romantic partner or a birth partner)
Q126,Q29.1,,,Was your partner your primary support person during your labor and birth?
Q127,Q30,,,Did you work with a doula?
Q128,Q31.1,,,Did you rely on a birth plan during your labor and birth?
Q129,Q61_1,,,Interested
Q130,Q61_2,,,Distressed
Q131,Q61_3,,,Excited
Q132,Q61_4,,,Upset
Q133,Q61_5,,,Strong
Q134,Q61_6,,,Guilty
Q135,Q61_7,,,Scared
Q136,Q61_8,,,Hostile
Q137,Q61_9,,,Enthusiastic
Q138,Q61_10,,,Proud
Q139,Q61_11,,,Irritable
Q140,Q61_12,,,Alert
Q141,Q61_13,,,Ashamed
Q142,Q61_14,,,Inspired
Q143,Q61_15,,,Nervous
Q144,Q61_16,,,Determined
Q145,Q61_17,,,Attentive
Q146,Q61_18,,,Jittery
Q147,Q61_19,,,Active
Q148,Q61_20,,,Afraid
Q149,Q32,,,"For all questions, if more than one answer applies, choose the one most representative of the time d..."
Q150,Q33.1,,((2)),"The lighting in my labor and birth environment was dimmed, dark, or off"
Q151,Q34,,((2)),I labored in a confined space
Q152,Q35.1,,((6)),I used water to relax and/or relieve pain during my labor
Q153,Q36,,((2)),"Were there people present at your labor and birth besides you, your partner, and your care providers"
Q154,Q37.1,INV,((2))/((3)),Some people contributed an unwelcome presence to my labor and birth
Q155,Q38,,((3)),Any unwelcome guests were asked to leave
Q156,Q39.1,,((3))/((2)),Were there other children present during the labor and birth?
Q157,Q40,,((3))/((2)),Choose what best describes the children's overall level of interest
Q158,Q41.1,,((3))/((2)),Choose what best describes the children's reactions
