varName,oldName,varDesc,Group,Response Type,Inverted
P001,Q33,How many previous full-term pregnancies have you had?,,0 | 1 | 2 | 3 | 4+,
P002,Q35,When was your estimated due date? (MM/DD/YYYY),,Formated date response,
P003,Q37,Is this a single or a multiple pregnancy?,,Single | Multiple,
P004,Q39,Age,,18-24 | 25-29 | 30-34 | 35-39 | 40+,
P005,Q41,Occupation,,Free Response,
P006,Q43,Highest educational level achieved,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)",
P007,Q45,Are you currently partnered?,,Yes | No,
P008,Q47,Religious affiliation,,Protestant Christian | Roman Catholic | Evangelical Christian | Jewish | Muslim | Hindu | Buddhist | Atheist/Nonreligious | Other | Prefer Not to Say,
P009,Q49,Average household income,,"Less than $10,000 | $10,000-$50,000 | $50,000-$100,000 | $100,000-$150,000 | More than $150,000 | Prefer Not to Say",
P010,Q51,Race,,White/Caucasian | African American | Hispanic | Asian | Native American | Pacific Islander | Other,
P011,Q53,How many siblings do you have?,,0 | 1 | 2 | 3 | 4+,
P012,Q55,Highest educational level achieved by your mother,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)",
P013,Q57,Highest educational level achieved by your father,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)",
P014,Q59,What is your primary motivating factor for choosing an out-of-hospital birth?,,Free Response,
P015,Q19,Did you have a vaginal childbirth or a cesarean birth?,,Vaginal Birth | Cesarean Section,
P016,Q20,Did you receive any pain medications?,,No | Epidural | Narcotics | Spinal Block | Other
P017,Q21,Where did you give birth?,,home | birthing center | hospital | other
P018,Q22,Did you give birth at the location you had originally intended?,,Yes | No
P019,Q23,What day of the week did you give birth?,,Sunday | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday
P020,Q24,What time of day did you give birth?,,Early morning | Late morning | Early afternoon | Late afternoon | Early evening | Late evening | Middle of the night
P021,Q25,"Relative to your estimated due date, how many days early or late did you give birth?",,More than 14 days early | 8-14 days early | 1-7 days early | Gave birth on my due date | 1-7 days late 8-14 days late | More than 14 days late
P022,Q26,How much time did you spend in active labor (4cm or more dilated)?,,0-2 hours | 2-4 hours | 4-6 hours | 6-8 hours | 8-10 hours | 10-12 hours | More than 12 hours
P023,Q27.1,How much time did you spend pushing?,,0-19 minutes | 20-39 minutes | 40-59 minutes | 60-79 minutes | 80-99 minutes | 100-120 minutes | more than 2 hours
P024,Q28,Was your partner present during the birth? (Partner can mean a romantic partner or a birth partner),,Yes | No | N/A
P025,Q29.1,Was your partner your primary support person during your labor and birth?,,Yes | No | Sometimes | N/A
P026,Q30,Did you work with a doula?,,Yes | No
P027,Q31.1,Did you rely on a birth plan during your labor and birth?,,Yes | No
P028,Q61_1,Interested,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P029,Q61_2,Distressed,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P030,Q61_3,Excited,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P031,Q61_4,Upset,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P032,Q61_5,Strong,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P033,Q61_6,Guilty,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P034,Q61_7,Scared,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P035,Q61_8,Hostile,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P036,Q61_9,Enthusiastic,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P037,Q61_10,Proud,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P038,Q61_11,Irritable,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P039,Q61_12,Alert,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P040,Q61_13,Ashamed,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P041,Q61_14,Inspired,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P042,Q61_15,Nervous,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P043,Q61_16,Determined,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P044,Q61_17,Attentive,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P045,Q61_18,Jittery,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P046,Q61_19,Active,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P047,Q61_20,Afraid,,Very Slightly or Not at All | A Little | Moderately | Quite a Bit | Extremely
P048,Q33.1,"The lighting in my labor and birth environment was dimmed, dark, or off",,
P049,Q34,I labored in a confined space,,
P050,Q35.1,I used water to relax and/or relieve pain during my labor,,
P051,Q36,"Were there people present at your labor and birth besides you, your partner, and your care providers",,
P052,Q37.1,Some people contributed an unwelcome presence to my labor and birth,,
P053,Q38,Any unwelcome guests were asked to leave,,
P054,Q39.1,Were there other children present during the labor and birth?,,
P055,Q40,Choose what best describes the children's overall level of interest,,
P056,Q41.1,Choose what best describes the children's reactions,,
P057,Q42,I vocalized during contractions,,
P058,Q43.1,"During labor, I focused my attention on my breath",,
P059,Q44,"During labor, I focused my attention on someone's face (partner, midwife, doula, someone else)",,
P060,Q45.1,"During labor, I focused my attention on an object",,
P061,Q46,"During labor, I focused my attention on a mantra or motivational phrase",Page 4 (Objective Questions),
P062,Q47_1,I could take labor at my own pace,"For all questions, if more than one answer applies, choose the one representative of the time during active labor (4cm or more dilated)",
P063,Q47_2,My midwife respected my innate knowledge of my birthing process,"The lighting in my labor and birth environment was dimmed, dark, or off",Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P064,Q47_3,I was being observed or watched,I labored in a confined space,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P065,Q47_4,I felt in control of my own behavior,I used water to relax and/or relieve pain during my labor,A Great Deal | Quite a Bit | Somewhat | Very Little | Not at All
P066,Q47_5,I felt in control of the care I received,"Were there people present at your labor and birth besides you, your partner, and your care providers",Yes | No
P067,Q47_6,"In general, my experience of labor and delivery was what I expected",Some people contributed an unwelcome presence to my labor and birth,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree
P068,Q47_7,My partner gave me his/her full presence,Any unwelcome guests were asked to leave,Strongly Agree | Agree | Neither Agree nor Disagree | Disagree | Strongly Disagree | N/A
P069,Q47_8,My midwife gave me her full presence,Were there other children present during the labor and birth?,Yes | No
